code,system
1759711000006110,snomedct
1759711000006110,snomedct
1709191000006112,snomedct
1174251000000119,snomedct
AB63600,snomedct
1174251000000119,snomedct
1709191000006112,snomedct
AB63600,snomedct
4200931000006116,snomedct
No found code,snomedct
4200931000006116,snomedct
No found code,snomedct
2914521000006112,snomedct
2914521000006112,snomedct
216248013,snomedct
216249017,snomedct
43fA.00,snomedct
43fB.00,snomedct
1761701000006115,snomedct
494701000006114,snomedct
43Q5.00,snomedct
1761701000006115,snomedct
459540015,snomedct
459539017,snomedct
43f0.00,snomedct
43f1.00,snomedct
2352331000000118,snomedct
1786369019,snomedct
43jH.00,snomedct
1786369019,snomedct
1759721000006119,snomedct
483451000000113,snomedct
43tG.00,snomedct
1759721000006119,snomedct
975701000006115,snomedct
43fF.00,snomedct
2537721000006113,snomedct
2537721000006113,snomedct
1793151000000113,snomedct
43kA.00,snomedct
353241000000112,snomedct
43fH.00,snomedct
133401000000117,snomedct
4JDC.00,snomedct
2666231000006116,snomedct
2666231000006116,snomedct
193491000006112,snomedct
AB63400,snomedct
193491000006112,snomedct
AB63400,snomedct
